Date,Time,DateTime,Weather_State,Weather_State_Previous,Location,Temp_F,Humidity,UserID,Program_ProcessTime,Program_ClockTime,Change_Status,userID_ProcessTime,userID_ClockTime,weatherReport_ProcessTime,weatherReport_ClockTime,weatherPreviousRead_ProcessTime,weatherPreviousRead_ClockTime,weatherConversion_ProcessTime,weatherConversion_ClockTime,keyPress_ProcessTime,keyPress_ClockTime,zipCode_ProcessTime,zipCode_ClockTime
2023-01-10,21:20:23,2023-01-10 21:20:23.907927,Clouds,Clouds,Burlington,17.02,80.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.03125,0.15426,No,0.0,0.0005,0.01562,0.1493,0.01562,0.0005,0.0,0.0,0.0,0.00397,,
2023-01-10,22:56:39,2023-01-10 22:56:39.472122,Clouds,Clouds,Burlington,18.0,73.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.36997,No,0.0,0.00298,0.0,0.36154,0.0,0.0005,0.0,0.0,0.0,0.00496,,
2023-01-11,01:16:04,2023-01-11 01:16:04.692855,Clouds,Clouds,Burlington,14.68,84.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.01562,0.23825,No,0.0,0.00051,0.01562,0.23477,0.0,0.00052,0.0,0.0,0.0,0.00245,,
2023-01-11,01:16:05,2023-01-11 01:16:05.568353,Clouds,Clouds,Burlington,14.68,84.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.01562,0.29443,No,0.0,0.0,0.01562,0.29146,0.0,0.0005,0.0,0.0,0.0,0.00198,,
2023-01-11,01:16:06,2023-01-11 01:16:06.443367,Clouds,Clouds,Burlington,14.68,84.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.03125,0.32095,No,0.0,0.0005,0.01562,0.31651,0.0,0.0005,0.0,0.0,0.0,0.00293,,
2023-01-13,04:38:02,2023-01-13 04:38:02.835403,Rain,Clouds,Quechee,33.17,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.47626,Yes,0.0,0.0,0.0,0.46964,0.0,0.00265,0.0,0.0,0.0,0.00344,0.0,0.0
2023-01-13,04:38:08,2023-01-13 04:38:08.809362,Rain,Rain,Quechee,33.17,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.11011,No,0.0,0.0,0.0,0.10466,0.0,0.0,0.0,0.0,0.0,0.00495,0.0,0.0
2023-01-13,04:40:51,2023-01-13 04:40:51.136095,Rain,Rain,Quechee,33.17,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.05991,No,0.0,0.0,0.0,0.05492,0.0,0.00053,0.0,0.0,0.0,0.00397,0.0,0.0005
2023-01-13,04:42:36,2023-01-13 04:42:36.610416,Rain,Rain,Quechee,33.17,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.06434,No,0.0,0.0,0.0,0.0604,0.0,0.0,0.0,0.0,0.0,0.00347,0.0,0.0
2023-01-13,04:49:06,2023-01-13 04:49:06.894808,Rain,Rain,Quechee,33.17,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.08024,No,0.0,0.0,0.0,0.07787,0.0,0.0,0.0,0.0,0.0,0.00237,0.0,0.0
2023-01-13,04:50:56,2023-01-13 04:50:56.483740,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.27974,No,0.0,0.0,0.0,0.27776,0.0,0.0,0.0,0.0,0.0,0.00099,0.0,0.0005
2023-01-13,04:51:21,2023-01-13 04:51:21.179534,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.01562,0.07936,No,0.0,0.0,0.01562,0.07688,0.0,0.0005,0.0,0.0,0.0,0.00198,0.0,0.0
2023-01-13,04:55:56,2023-01-13 04:55:56.137752,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.06499,No,0.0,0.0,0.0,0.06002,0.0,0.00052,0.0,0.0,0.0,0.00396,0.0,0.0005
2023-01-13,04:56:19,2023-01-13 04:56:19.731747,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.06926,No,0.0,0.0,0.0,0.0668,0.0,0.0,0.0,0.0,0.0,0.00198,0.0,0.0
2023-01-13,04:56:36,2023-01-13 04:56:36.893190,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.01562,0.0676,No,0.0,0.0,0.0,0.06463,0.0,0.0005,0.0,0.0,0.01562,0.00198,0.0,0.0005
2023-01-13,04:56:57,2023-01-13 04:56:57.008112,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.06498,No,0.0,0.0,0.0,0.05952,0.0,0.0,0.0,0.0,0.0,0.00447,0.0,0.0005
2023-01-13,04:57:10,2023-01-13 04:57:10.991540,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.01562,0.06443,No,0.0,0.0,0.0,0.06145,0.01562,0.0005,0.0,0.0,0.0,0.00248,0.0,0.0
2023-01-13,04:57:18,2023-01-13 04:57:18.315980,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.09852,No,0.0,0.0,0.0,0.09504,0.0,0.0,0.0,0.0,0.0,0.00348,0.0,0.0
2023-01-13,04:57:26,2023-01-13 04:57:26.722378,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.06398,No,0.0,0.0,0.0,0.06051,0.0,0.0,0.0,0.0,0.0,0.00298,0.0,0.0005
2023-01-13,04:59:40,2023-01-13 04:59:40.427977,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.01562,0.0625,No,0.0,0.0,0.01562,0.06002,0.0,0.0,0.0,0.0,0.0,0.00248,0.0,0.0
2023-01-13,04:59:49,2023-01-13 04:59:49.426188,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.01562,0.05654,No,0.0,0.0,0.01562,0.05459,0.0,0.0,0.0,0.0,0.0,0.00149,0.0,0.0
2023-01-13,04:59:54,2023-01-13 04:59:54.819050,Rain,Rain,Quechee,33.24,85.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.01562,0.0615,No,0.0,0.0,0.0,0.05853,0.0,0.0,0.0,0.0,0.0,0.00198,0.0,0.0
2023-01-13,05:34:16,2023-01-13 05:34:16.603569,Rain,Rain,Quechee,33.06,87.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.48285,No,0.0,0.0,0.0,0.47839,0.0,0.0,0.0,0.0,0.0,0.00397,0.0,0.0005
2023-01-13,05:37:32,2023-01-13 05:37:32.727129,Rain,Rain,Quechee,33.06,87.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.06032,No,0.0,0.0005,0.0,0.05635,0.0,0.0,0.0,0.0,0.0,0.00347,0.0,0.0
2023-01-13,05:37:34,2023-01-13 05:37:34.040753,Rain,Rain,Quechee,33.06,87.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.06315,No,0.0,0.0,0.0,0.06017,0.0,0.00053,0.0,0.0,0.0,0.00245,0.0,0.0
2023-01-13,05:37:34,2023-01-13 05:37:34.837457,Rain,Rain,Quechee,33.06,87.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.0625,No,0.0,0.0,0.0,0.05856,0.0,0.00049,0.0,0.0,0.0,0.00346,0.0,0.0
2023-01-13,05:37:54,2023-01-13 05:37:54.016983,Rain,Rain,Quechee,33.06,87.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.06091,No,0.0,0.0,0.0,0.05694,0.0,0.0,0.0,0.0,0.0,0.00397,0.0,0.0
